"id (S)","__typename (S)","createdAt (S)","image (S)","text (S)","type (S)","updatedAt (S)","userID (S)"
"e69d7e6a-7bd7-4575-8913-10fdbaabcdf0","Fleet","2021-07-11T12:33:52.431Z","9715469d-37cf-4d7c-aeed-305ced75038e.jpg","","Image","2021-07-11T12:33:52.431Z","042c9b2e-0417-4dd7-8a52-9bc49c6e5781"
"cefc783b-f46c-48e6-91e7-286d8f584a1d","Fleet","2021-07-14T03:03:46.309Z","file:///data/user/0/host.exp.exponent/cache/ExperienceData/UNVERIFIED-192.168.1.53-TwitterClone/ImagePicker/635d18fc-1804-41a7-8a4c-0f73e55febaa.jpg","null","Image","2021-07-14T03:03:46.309Z","5b6e9c4b-051d-4bce-b6c2-07ce20993653"
"6ddecdd6-efce-4823-b8cd-f4c7b7e9ca58","Fleet","2021-07-11T12:32:20.089Z","","C�est au moment o� tu vois un moustique se poser sur tes testicules que tu te rends compte qu�il y a moyen de r�gler certains probl�mes autrement que par la violence","Text","2021-07-11T12:32:20.089Z","042c9b2e-0417-4dd7-8a52-9bc49c6e5781"
"2a87c875-b58c-4a11-bfb1-98513fd4c25a","Fleet","2021-07-11T12:39:01.462Z","","C�est au moment o� tu vois un moustique se poser sur tes testicules que tu te rends compte qu�il y a moyen de r�gler certains probl�mes autrement que par la violence","Text","2021-07-11T12:39:01.462Z","7540fea6-6d56-4a54-ba7d-6d9835d34c3e"
"cd82c1c4-90fb-4fd7-8807-46515b3d5dc3","Fleet","2021-07-11T12:39:03.577Z","653048cf-d8fa-4a93-b2ce-0cc879231597.jpg","","Image","2021-07-11T12:39:03.577Z","7540fea6-6d56-4a54-ba7d-6d9835d34c3e"
"cbff1d7f-1eea-421a-86ba-31bde0888121","Fleet","2021-07-11T12:32:03.707Z","","Un docteur � son patient : Le soir, avant de vous coucher, laisser vos soucis au pied du lit. Mais, je ne peux pas docteur, ma femme n�acceptera jamais de dormir par terre !..","Text","2021-07-11T12:32:03.707Z","042c9b2e-0417-4dd7-8a52-9bc49c6e5781"
"a5db5bb6-1bcb-4421-a931-af2ccd75270c","Fleet","2021-07-11T12:38:50.390Z","","Si tu dors et que tu r�ves que tu dors, il faut que tu te r�veilles deux fois pour te lever..","Text","2021-07-11T12:38:50.390Z","7540fea6-6d56-4a54-ba7d-6d9835d34c3e"
"64b0880f-907e-45fa-82b9-c1d1afd6741f","Fleet","2021-07-11T12:32:17.491Z","","Ca m�en touche une sans faire bouger l�autre !","Text","2021-07-11T12:32:17.491Z","042c9b2e-0417-4dd7-8a52-9bc49c6e5781"
"43bfabec-2d1c-4593-874c-ef854343ae2e","Fleet","2021-07-11T12:38:56.957Z","","Ca m�en touche une sans faire bouger l�autre !","Text","2021-07-11T12:38:56.957Z","7540fea6-6d56-4a54-ba7d-6d9835d34c3e"
"1c10d89a-e75c-4c38-ba22-086f38ee36d3","Fleet","2021-07-14T02:33:01.634Z","null","Hello people :)","Text","2021-07-14T02:33:01.634Z","5b6e9c4b-051d-4bce-b6c2-07ce20993653"
