"id (S)","__typename (S)","content (S)","createdAt (S)","image (S)","updatedAt (S)","userID (S)"
"040520fb-8180-4b63-a00c-70a8d0424c0c","Tweet","Que fait une vache quand elle ferme les yeux ? Du lait concentré","2021-07-09T04:33:13.679Z","11972985-cab6-4cea-8bac-94937bccdbb4.jpg","2021-07-09T04:33:13.679Z","880e345f-2af6-4fbe-8a8f-2d020affec36"
"259cbf30-191b-41a4-9726-e52f0bbfd637","Tweet","Une femme parle à son mari :

-Chéri je suis enceinte ! Tu voudrais que ce soit quoi ?

-Une blague ! Répondit le mari.","2021-07-11T02:15:06.013Z","1596b302-2020-4ff1-bb30-04eac830131c.jpg","2021-07-11T02:15:06.013Z","1a7a21aa-f446-41f7-8040-ca0b7678e2c4"
"356dc946-eaad-40c2-ac77-6d4935a8fd50","Tweet","First image uploaded!","2021-07-11T02:08:28.368Z","3a20b73b-d6e7-4ed9-a0b7-82183a192b64.jpg","2021-07-11T02:08:28.368Z","1a7a21aa-f446-41f7-8040-ca0b7678e2c4"
"394ffc0b-2cb5-4294-a7f2-e7fff84a4f20","Tweet","  Toto revient de l'école le jour de la rentrée. Sa mère lui demande :

- Alors Toto, comment s'est passé ce jour de la rentrée ?

- Génial. En plus j'ai fait comme papa. J'ai changé de maîtresse !","2021-07-11T02:12:29.040Z","653048cf-d8fa-4a93-b2ce-0cc879231597.jpg","2021-07-11T02:12:29.040Z","1a7a21aa-f446-41f7-8040-ca0b7678e2c4"
"3aadce30-366b-481d-9fb5-c56ea3734c29","Tweet","Tard dans la nuit, alors que je dormais après avoir relu pour la 3ème fois la Comédie humaine de Balzac, mon perroquet a démonté mon portable qui n'a donc pas sonné, et ce n'est qu'à l'arrivée du facteur que j'ai réalisé qu'il était trop tard pour venir au bureau ce matin.","2021-07-09T04:13:35.690Z","b7dda7dd-5228-46f0-b762-d03693b5f1e3.jpg","2021-07-09T04:13:35.690Z","042c9b2e-0417-4dd7-8a52-9bc49c6e5781"
"448bb0f4-98f3-4a5f-8b62-93a2f6363af9","Tweet","C’est un gars qui se promène au bord d’un lac, tout à coup il voit quelqu’un qui se débat dans l’eau en criant HELP HELP !! Alors il lui crie :
– Eh idiot ! T’aurais mieux fait d’apprendre à nager au lieu d’apprendre l’anglais !","2021-07-11T02:17:29.555Z","21d090de-5e2d-4607-a010-60d91b1d80c8.jpg","2021-07-11T02:17:29.555Z","1a7a21aa-f446-41f7-8040-ca0b7678e2c4"
"4d2fb210-6729-42ba-9f9a-6d6d14f1ca36","Tweet","Tard dans la nuit, alors même que je somnolais après avoir passé en revue une étude du Figaro Economique, mon poisson-rouge, Oscar a rebooté mon PC qui n'a donc pas sonné, et ce n'est que quand le plombier est venu réparer l'inondation que je me suis réveillé.","2021-07-09T04:16:38.192Z","1e358921-349d-45ba-9e6a-f9aee960321f.jpg","2021-07-09T04:16:38.192Z","98da12da-03f2-4143-bfb2-bd2599e53a2d"
"840724da-f333-4e41-b3cb-b15a3105cc8d","Tweet","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.'","2021-07-09T04:15:02.206Z","1596b302-2020-4ff1-bb30-04eac830131c.jpg","2021-07-09T04:15:02.206Z","9252aa87-80f0-48c5-9fa1-d44474c5dfb9"
"8c991366-4e3c-4495-b5d5-ec759a9bc8a9","Tweet","Tôt dans la matinée, tandis que je faisais un somme après avoir fini de traduire Guerre & Paix en Mandarin, ma vieille grand-mère a démonté mon portable qui n'a donc pas sonné, et ce n'est qu'avec l'arrivée du SAMU, venu chercher ma grand-mère que j'ai bondi hors de mon lit pour me ruer au bureau.","2021-07-09T04:50:26.382Z","21d090de-5e2d-4607-a010-60d91b1d80c8.jpg","2021-07-09T04:50:26.382Z","cb0d512a-56d1-4918-aa3d-e6301d2fcfee"
"ab2a1c3d-c549-4f75-b394-430ad5cf3952","Tweet","azerzrea","2021-07-11T02:48:01.836Z","9715469d-37cf-4d7c-aeed-305ced75038e.jpg","2021-07-11T02:48:01.836Z","1a7a21aa-f446-41f7-8040-ca0b7678e2c4"
"f2db854c-fe0b-4253-9e31-63145d3db81a","Tweet","along the river","2021-07-11T02:09:32.876Z","11972985-cab6-4cea-8bac-94937bccdbb4.jpg","2021-07-11T02:09:32.876Z","1a7a21aa-f446-41f7-8040-ca0b7678e2c4"
"fb36f9e4-6420-4ae2-ac06-5a6a72fad82a","Tweet","Second image uploaded! Check that!","2021-07-11T02:09:01.300Z","1e358921-349d-45ba-9e6a-f9aee960321f.jpg","2021-07-11T02:09:01.300Z","1a7a21aa-f446-41f7-8040-ca0b7678e2c4"
